move,waitedResult,optionChosen,movementTime,pauseTime,timeRunning
54,2,2,0.916412,0.000000,187.610000
55,0,0,1.299194,0.000000,190.359200
56,1,1,0.550201,0.000000,192.359400
57,2,2,0.832916,0.000000,194.609100
58,0,0,3.482300,0.000000,199.541800
59,1,1,0.717194,0.000000,201.708200
60,2,2,0.749603,0.000000,203.875000
61,0,0,1.066010,0.000000,206.391000
62,1,1,0.382416,0.000000,208.224000
63,2,2,0.649811,0.000000,210.290800
64,1,0,0.916382,0.000000,212.657400
65,1,0,3.749115,0.000000,217.790100
66,2,0,1.249512,0.000000,220.423100
67,1,0,5.065887,0.000000,226.872500
68,1,1,0.415680,0.000000,228.671900
69,2,2,2.749298,0.000000,232.838500
70,0,0,0.799591,0.000000,235.088300
71,1,1,0.683106,0.000000,237.221200
72,2,2,0.399597,0.000000,239.038100
73,0,0,0.516724,0.000000,241.004400
74,1,1,0.182892,0.000000,242.637100
75,2,2,0.033325,0.000000,244.087400
76,0,0,0.032501,0.000000,245.570000
77,1,1,0.216400,0.000000,247.237000
78,2,2,0.116211,0.000000,248.770000
79,0,0,0.233002,0.000000,250.453400
80,1,1,0.033020,0.000000,251.936100
81,2,2,0.148895,0.000000,253.502400
82,1,0,0.649902,0.000000,255.602800
83,1,2,6.049591,0.000000,263.035500
84,2,1,0.549103,0.000000,264.984300
85,0,0,2.365814,0.000000,269.001100
86,1,1,1.466522,0.000000,271.917600
87,2,2,0.833313,0.000000,274.167600
88,0,0,0.615601,0.000000,276.233300
89,1,1,0.716309,0.000000,278.400200
90,2,2,0.149506,0.000000,279.966500
91,1,0,0.382782,0.000000,281.799800
92,1,1,4.349609,0.000000,287.532600
93,2,0,3.949799,0.000000,292.899100
94,0,0,1.882782,0.000000,296.165000
95,1,1,1.899109,0.000000,299.514300
96,2,2,0.616516,0.000000,301.547800
97,0,0,0.616211,0.000000,303.613900
98,1,1,0.749512,0.000000,305.813600
99,2,2,0.716309,0.000000,307.947100
100,0,0,0.649414,0.000000,310.046700
101,1,1,0.516388,0.000000,312.013200
102,2,2,0.616394,0.000000,314.046400
103,0,0,1.599304,0.000000,317.095800
104,1,1,0.366608,0.000000,318.912700
105,2,2,2.332916,0.000000,322.662300
106,0,0,1.732910,0.000000,325.845200
107,1,1,1.799377,0.000000,329.094600
108,2,2,1.782410,0.000000,332.293700
109,0,0,1.099426,0.000000,334.843900
110,1,1,0.882996,0.000000,337.177100
111,2,2,0.533295,0.000000,339.127100
112,0,0,0.499207,0.000000,341.076600
113,1,1,2.266022,0.000000,344.793100
114,2,2,0.432709,0.000000,346.642900
115,0,0,0.566193,0.000000,348.659100
116,1,1,2.416595,0.000000,352.525900
117,2,2,0.533203,0.000000,354.475500
118,1,0,0.449616,0.000000,356.375000
119,1,1,3.998901,0.000000,361.757500
120,2,0,1.332581,0.000000,364.507500
